,HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN,BASKET_NUM,PURCHASE_,PRODUCT_NUM,SPEND,UNITS,STORE_R,WEEK_NUM,YEAR,DEPARTMENT,COMMODITY,BRAND_TY,NATURAL_ORGANIC_FLAG
649024,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,77645,2020-06-01,32747,1.27,1,EAST   ,22,2020,FOOD                      ,SPECIALTY FOOD            ,NATIONAL,N
853978,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,38627,2019-06-28,32747,1.38,1,EAST   ,25,2019,FOOD                      ,SPECIALTY FOOD            ,NATIONAL,N
871804,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,36392,2019-06-09,32747,1.25,1,EAST   ,23,2019,FOOD                      ,SPECIALTY FOOD            ,NATIONAL,N
302078,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,5628,2018-10-02,8495,1.29,1,EAST   ,39,2018,FOOD                      ,DRY GOODS                 ,NATIONAL,N
615356,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,55569,2019-11-15,8495,1.29,1,EAST   ,45,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
284148,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,77857,2020-06-03,8588,1.51,1,EAST   ,22,2020,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
344719,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,81224,2020-07-06,8588,1.02,1,EAST   ,27,2020,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
346075,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,44305,2019-08-13,8588,1.9,1,EAST   ,32,2019,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
395743,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,13610,2018-12-05,8588,1.38,1,EAST   ,48,2018,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
423392,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,19651,2019-01-23,8588,0.79,1,EAST   ,3,2019,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
448347,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,17000,2018-12-31,8588,0.64,1,EAST   ,52,2018,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
656476,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,76220,2020-05-18,8588,5.33,1,EAST   ,20,2020,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
742939,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,22565,2019-02-16,8588,1.66,1,EAST   ,6,2019,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
788625,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,29790,2019-04-17,8588,1.08,1,EAST   ,15,2019,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
800156,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,81814,2020-07-11,8588,1.05,1,EAST   ,27,2020,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
526282,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,15913,2018-12-23,9082,1.5,1,EAST   ,51,2018,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
502997,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,73613,2020-04-22,8506,1.49,1,EAST   ,16,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
638855,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,71887,2020-04-04,8506,1.49,1,EAST   ,13,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
44858,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,12289,2018-11-24,8979,1.19,1,EAST   ,46,2018,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
593843,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,2759,2018-09-08,8979,1.29,1,EAST   ,35,2018,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
836710,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,52795,2019-10-24,8979,1.39,1,EAST   ,42,2019,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
640327,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,36392,2019-06-09,8507,1.01,1,EAST   ,23,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
898240,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,2399,2018-09-05,8507,0.77,1,EAST   ,35,2018,FOOD                      ,DRY GOODS                 ,NATIONAL,N
898848,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,22914,2019-02-18,8507,0.64,1,EAST   ,7,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
908854,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,25574,2019-03-14,8507,0.89,1,EAST   ,10,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
614167,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,15913,2018-12-23,9193,1.01,1,EAST   ,51,2018,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
3235,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,17715,2019-01-06,8943,1.63,1,EAST   ,1,2019,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
567607,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,47331,2019-09-08,8642,2.5,1,EAST   ,36,2019,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
16213,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,81001,2020-07-04,9340,0.99,1,EAST   ,26,2020,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
362264,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,82433,2020-07-18,9340,2.97,3,EAST   ,28,2020,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
390281,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,83204,2020-07-25,9340,1.34,2,EAST   ,29,2020,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
518295,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,84584,2020-08-08,9340,1.25,1,EAST   ,31,2020,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
747210,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,83837,2020-08-01,9340,0.89,1,EAST   ,30,2020,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
157670,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,43001,2019-08-03,8581,1.13,1,EAST   ,30,2019,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
355802,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,34324,2019-05-24,8581,1.32,1,EAST   ,20,2019,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
682097,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,14881,2018-12-15,9074,2.0,1,EAST   ,49,2018,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
388830,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,34324,2019-05-24,9164,2.29,1,EAST   ,20,2019,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
517101,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,44783,2019-08-18,9164,5.0,2,EAST   ,33,2019,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
618708,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,85154,2020-08-14,9164,3.0,2,EAST   ,32,2020,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
739613,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,81224,2020-07-06,9164,4.0,2,EAST   ,27,2020,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
917096,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,52455,2019-10-21,8516,2.88,1,EAST   ,42,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
546815,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,19076,2019-01-18,8066,1.02,1,EAST   ,2,2019,NON-FOOD                  ,COSMETICS                 ,NATIONAL,N
357255,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,81001,2020-07-04,8455,1.0,2,EAST   ,26,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
245997,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,60592,2019-12-27,8899,3.08,1,EAST   ,51,2019,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
279903,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,18180,2019-01-10,8513,0.99,1,EAST   ,1,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
236623,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,78256,2020-06-08,8952,2.68,1,EAST   ,23,2020,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
427491,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,74468,2020-05-01,33020,0.84,1,EAST   ,17,2020,FOOD                      ,IN STORE FOOD SERVICE     ,NATIONAL,N
837998,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,13012,2018-11-30,32635,6.1,1,EAST   ,47,2018,FOOD                      ,MEAT - POULTRY            ,NATIONAL,N
284723,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,13012,2018-11-30,33109,1.25,1,EAST   ,47,2018,FOOD                      ,IN STORE FOOD SERVICE     ,NATIONAL,N
206676,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,3466,2018-09-14,8500,1.19,1,EAST   ,36,2018,FOOD                      ,DRY GOODS                 ,NATIONAL,N
443100,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,11322,2018-11-16,8908,0.64,1,EAST   ,45,2018,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
523682,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,13012,2018-11-30,32835,3.98,2,EAST   ,47,2018,FOOD                      ,BEVERAGE - WATER          ,PRIVATE ,N
772298,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,3466,2018-09-14,32835,5.97,3,EAST   ,36,2018,FOOD                      ,BEVERAGE - WATER          ,PRIVATE ,N
910952,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,11463,2018-11-17,9144,1.93,1,EAST   ,45,2018,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
573861,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,3466,2018-09-14,32571,4.0,2,EAST   ,36,2018,FOOD                      ,MEAT - CHICKEN            ,NATIONAL,N
580052,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,46533,2019-09-01,32571,2.0,1,EAST   ,35,2019,FOOD                      ,MEAT - CHICKEN            ,NATIONAL,N
831506,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,45803,2019-08-25,32571,2.0,1,EAST   ,34,2019,FOOD                      ,MEAT - CHICKEN            ,NATIONAL,N
356117,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,44506,2019-08-15,7850,0.5,1,EAST   ,32,2019,NON-FOOD                  ,CLOTHING                  ,NATIONAL,N
830213,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,1156,2018-08-26,32761,2.27,1,EAST   ,34,2018,FOOD                      ,SPECIALTY FOOD            ,NATIONAL,N
750803,210,N,55-64                                                                                                                                                                                                   ,Single ,UNDER 35K                                                                                                                                                                                               ,null     ,Single Female    ,1                                                                                                                                                                                                       ,,36392,2019-06-09,33004,1.99,1,EAST   ,23,2019,FOOD                      ,IN STORE FOOD SERVICE     ,PRIVATE ,N
